item_id,level,name,reading,english_name,type,srs_stage_group,srs_stage,document_url,reason_skipped
308,27,farming,,Farming,radical,,3,https://www.wanikani.com/radicals/farming,known
309,27,rake,,Rake,radical,,3,https://www.wanikani.com/radicals/rake,known
310,27,substitute,,Substitute,radical,,3,https://www.wanikani.com/radicals/substitute,known
311,27,change,,Change,radical,,3,https://www.wanikani.com/radicals/change,known
312,27,peoples,,Peoples,radical,,3,https://www.wanikani.com/radicals/peoples,known
313,27,surplus,,Surplus,radical,,3,https://www.wanikani.com/radicals/surplus,known
331,27,call,,Call,radical,,3,https://www.wanikani.com/radicals/call,known
332,27,exit,,Exit,radical,,3,https://www.wanikani.com/radicals/exit,known
1318,27,痛,,Pain,kanji,,3,https://www.wanikani.com/kanji/%E7%97%9B,known
1330,27,怒,,Angry,kanji,,3,https://www.wanikani.com/kanji/%E6%80%92,known
1337,27,靴,,Shoes,kanji,,,https://www.wanikani.com/kanji/%E9%9D%B4,known
3637,14,お願いします,おねがいします,Please Help Me,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E3%81%8A%E9%A1%98%E3%81%84%E3%81%97%E3%81%BE%E3%81%99,known
3678,14,女性,じょせい,Female,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A5%B3%E6%80%A7,known
3681,15,技,わざ,Technique,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%8A%80,known
3689,14,望む,のぞむ,To Wish,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%9C%9B%E3%82%80,known
3695,14,束,たば,Bundle,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%9D%9F,known
3697,14,松,まつ,Pine,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%9D%BE,known
3710,14,料理,りょうり,Cooking,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%96%99%E7%90%86,known
3719,14,約,やく,About,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%B4%84,known
3728,14,骨,ほね,Bone,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E9%AA%A8,known
3729,15,仏,ほとけ,Buddha,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E4%BB%8F,known
3732,15,信じる,しんじる,To Believe,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E4%BF%A1%E3%81%98%E3%82%8B,known
3740,15,区,く,District,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%8C%BA,known
3746,15,坂,さか,Slope,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%9D%82,known
3747,15,変,へん,Strange,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A4%89,known
3753,15,夫,おっと,Husband,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A4%AB,known
3754,15,岩,いわ,Boulder,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%B2%A9,known
3755,15,帰る,かえる,To Return Home,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%B8%B0%E3%82%8B,known
