radical_level,radical_name,radical_meaning,radical_characters,radical_status,radical_srs,match_type,kanji_level,kanji_character,kanji_meaning,kanji_srs,radical_url,kanji_url
1,big,Big,大,learned,9,character,1,大,Big,9,https://www.wanikani.com/radicals/big,https://www.wanikani.com/kanji/%E5%A4%A7
1,construction,Construction,工,learned,9,character,1,工,Construction,9,https://www.wanikani.com/radicals/construction,https://www.wanikani.com/kanji/%E5%B7%A5
1,cross,Cross,十,learned,9,character,1,十,Ten,9,https://www.wanikani.com/radicals/cross,https://www.wanikani.com/kanji/%E5%8D%81
1,enter,Enter,入,learned,9,character,1,入,Enter,9,https://www.wanikani.com/radicals/enter,https://www.wanikani.com/kanji/%E5%85%A5
1,ground,Ground,一,learned,9,character,1,一,One,9,https://www.wanikani.com/radicals/ground,https://www.wanikani.com/kanji/%E4%B8%80
1,mountain,Mountain,山,learned,9,character,1,山,Mountain,9,https://www.wanikani.com/radicals/mountain,https://www.wanikani.com/kanji/%E5%B1%B1
1,mouth,Mouth,口,learned,9,character,1,口,Mouth,9,https://www.wanikani.com/radicals/mouth,https://www.wanikani.com/kanji/%E5%8F%A3
1,nine,Nine,九,learned,9,character,1,九,Nine,9,https://www.wanikani.com/radicals/nine,https://www.wanikani.com/kanji/%E4%B9%9D
1,person,Person,人,learned,9,character,1,人,Person,9,https://www.wanikani.com/radicals/person,https://www.wanikani.com/kanji/%E4%BA%BA
1,power,Power,力,learned,9,character,1,力,Power,9,https://www.wanikani.com/radicals/power,https://www.wanikani.com/kanji/%E5%8A%9B
1,river,River,川,learned,9,character,1,川,River,9,https://www.wanikani.com/radicals/river,https://www.wanikani.com/kanji/%E5%B7%9D
1,river,River,川,learned,9,meaning,26,河,River,7,https://www.wanikani.com/radicals/river,https://www.wanikani.com/kanji/%E6%B2%B3
1,seven,Seven,七,learned,9,character,1,七,Seven,9,https://www.wanikani.com/radicals/seven,https://www.wanikani.com/kanji/%E4%B8%83
1,sun,Sun,日,learned,9,character,2,日,Sun,9,https://www.wanikani.com/radicals/sun,https://www.wanikani.com/kanji/%E6%97%A5
1,tree,Tree,木,learned,9,character,2,木,Tree,9,https://www.wanikani.com/radicals/tree,https://www.wanikani.com/kanji/%E6%9C%A8
1,two,Two,二,learned,9,character,1,二,Two,9,https://www.wanikani.com/radicals/two,https://www.wanikani.com/kanji/%E4%BA%8C
1,woman,Woman,女,learned,9,character,1,女,Woman,9,https://www.wanikani.com/radicals/woman,https://www.wanikani.com/kanji/%E5%A5%B3
2,book,Book,本,learned,9,character,2,本,Book,9,https://www.wanikani.com/radicals/book,https://www.wanikani.com/kanji/%E6%9C%AC
2,bow,Bow,弓,learned,9,character,18,弓,Bow,9,https://www.wanikani.com/radicals/bow,https://www.wanikani.com/kanji/%E5%BC%93
2,child,Child,子,learned,9,meaning,28,児,Child,3,https://www.wanikani.com/radicals/child,https://www.wanikani.com/kanji/%E5%85%90
2,child,Child,子,learned,9,character,2,子,Child,9,https://www.wanikani.com/radicals/child,https://www.wanikani.com/kanji/%E5%AD%90
2,cow,Cow,牛,learned,9,character,3,牛,Cow,9,https://www.wanikani.com/radicals/cow,https://www.wanikani.com/kanji/%E7%89%9B
2,dirt,Dirt,土,learned,9,character,2,土,Dirt,9,https://www.wanikani.com/radicals/dirt,https://www.wanikani.com/kanji/%E5%9C%9F
2,dog,Dog,犬,learned,9,character,2,犬,Dog,9,https://www.wanikani.com/radicals/dog,https://www.wanikani.com/kanji/%E7%8A%AC
2,evening,Evening,夕,learned,9,character,2,夕,Evening,9,https://www.wanikani.com/radicals/evening,https://www.wanikani.com/kanji/%E5%A4%95
2,eye,Eye,目,learned,9,character,2,目,Eye,9,https://www.wanikani.com/radicals/eye,https://www.wanikani.com/kanji/%E7%9B%AE
2,fire,Fire,火,learned,9,character,2,火,Fire,9,https://www.wanikani.com/radicals/fire,https://www.wanikani.com/kanji/%E7%81%AB
2,five,Five,五,learned,9,character,2,五,Five,9,https://www.wanikani.com/radicals/five,https://www.wanikani.com/kanji/%E4%BA%94
2,hand,Hand,手,learned,9,character,2,手,Hand,9,https://www.wanikani.com/radicals/hand,https://www.wanikani.com/kanji/%E6%89%8B
2,head,Head,冂,learned,9,meaning,10,頭,Head,9,https://www.wanikani.com/radicals/head,https://www.wanikani.com/kanji/%E9%A0%AD
2,heaven,Heaven,天,learned,9,character,2,天,Heaven,9,https://www.wanikani.com/radicals/heaven,https://www.wanikani.com/kanji/%E5%A4%A9
2,king,King,王,learned,9,character,2,王,King,9,https://www.wanikani.com/radicals/king,https://www.wanikani.com/kanji/%E7%8E%8B
2,leaf,Leaf,丆,learned,9,meaning,10,葉,Leaf,9,https://www.wanikani.com/radicals/leaf,https://www.wanikani.com/kanji/%E8%91%89
2,middle,Middle,中,learned,9,character,2,中,Middle,9,https://www.wanikani.com/radicals/middle,https://www.wanikani.com/kanji/%E4%B8%AD
2,moon,Moon,月,learned,9,character,2,月,Moon,9,https://www.wanikani.com/radicals/moon,https://www.wanikani.com/kanji/%E6%9C%88
2,rice-paddy,Rice Paddy,田,learned,9,character,2,田,Rice Paddy,9,https://www.wanikani.com/radicals/rice-paddy,https://www.wanikani.com/kanji/%E7%94%B0
2,small,Small,小,learned,9,character,2,小,Small,9,https://www.wanikani.com/radicals/small,https://www.wanikani.com/kanji/%E5%B0%8F
2,stand,Stand,立,learned,9,character,2,立,Stand,9,https://www.wanikani.com/radicals/stand,https://www.wanikani.com/kanji/%E7%AB%8B
2,stop,Stop,止,learned,9,character,3,止,Stop,9,https://www.wanikani.com/radicals/stop,https://www.wanikani.com/kanji/%E6%AD%A2
2,street,Street,丁,learned,9,character,2,丁,Street,9,https://www.wanikani.com/radicals/street,https://www.wanikani.com/kanji/%E4%B8%81
2,sword,Sword,刀,learned,9,character,2,刀,Sword,9,https://www.wanikani.com/radicals/sword,https://www.wanikani.com/kanji/%E5%88%80
2,thousand,Thousand,千,learned,9,character,2,千,Thousand,9,https://www.wanikani.com/radicals/thousand,https://www.wanikani.com/kanji/%E5%8D%83
2,treasure,Treasure,メ,learned,9,meaning,4,宝,Treasure,6,https://www.wanikani.com/radicals/treasure,https://www.wanikani.com/kanji/%E5%AE%9D
2,water,Water,水,learned,9,character,2,水,Water,9,https://www.wanikani.com/radicals/water,https://www.wanikani.com/kanji/%E6%B0%B4
2,white,White,白,learned,9,character,2,白,White,9,https://www.wanikani.com/radicals/white,https://www.wanikani.com/kanji/%E7%99%BD
2,writing,Writing,文,learned,9,character,2,文,Writing,9,https://www.wanikani.com/radicals/writing,https://www.wanikani.com/kanji/%E6%96%87
3,arrow,Arrow,矢,learned,9,character,3,矢,Arrow,9,https://www.wanikani.com/radicals/arrow,https://www.wanikani.com/kanji/%E7%9F%A2
3,bright,Bright,明,learned,9,character,3,明,Bright,9,https://www.wanikani.com/radicals/bright,https://www.wanikani.com/kanji/%E6%98%8E
3,direction,Direction,方,learned,9,character,3,方,Direction,9,https://www.wanikani.com/radicals/direction,https://www.wanikani.com/kanji/%E6%96%B9
3,door,Door,戸,learned,9,character,3,戸,Door,9,https://www.wanikani.com/radicals/door,https://www.wanikani.com/kanji/%E6%88%B8
3,drawer-70,Drawer,母,not_unlocked,,character,3,母,Mother,9,https://www.wanikani.com/radicals/drawer-70,https://www.wanikani.com/kanji/%E6%AF%8D
3,dry,Dry,干,learned,9,meaning,29,乾,Dry,2,https://www.wanikani.com/radicals/dry,https://www.wanikani.com/kanji/%E4%B9%BE
3,dry,Dry,干,learned,9,character,17,干,Dry,5,https://www.wanikani.com/radicals/dry,https://www.wanikani.com/kanji/%E5%B9%B2
3,fat,Fat,太,learned,9,character,3,太,Fat,9,https://www.wanikani.com/radicals/fat,https://www.wanikani.com/kanji/%E5%A4%AA
3,father,Father,父,learned,9,character,3,父,Father,9,https://www.wanikani.com/radicals/father,https://www.wanikani.com/kanji/%E7%88%B6
3,fur,Fur,毛,learned,9,character,3,毛,Fur,9,https://www.wanikani.com/radicals/fur,https://www.wanikani.com/kanji/%E6%AF%9B
3,heart,Heart,心,learned,9,character,3,心,Heart,9,https://www.wanikani.com/radicals/heart,https://www.wanikani.com/kanji/%E5%BF%83
3,ice,Ice,冫,learned,9,meaning,4,氷,Ice,9,https://www.wanikani.com/radicals/ice,https://www.wanikani.com/kanji/%E6%B0%B7
3,life,Life,生,learned,9,character,3,生,Life,9,https://www.wanikani.com/radicals/life,https://www.wanikani.com/kanji/%E7%94%9F
3,north,North,北,learned,9,character,3,北,North,9,https://www.wanikani.com/radicals/north,https://www.wanikani.com/kanji/%E5%8C%97
3,now,Now,今,learned,9,character,3,今,Now,9,https://www.wanikani.com/radicals/now,https://www.wanikani.com/kanji/%E4%BB%8A
3,old,Old,古,learned,9,character,3,古,Old,9,https://www.wanikani.com/radicals/old,https://www.wanikani.com/kanji/%E5%8F%A4
3,roof,Roof,宀,learned,9,meaning,9,屋,Roof,9,https://www.wanikani.com/radicals/roof,https://www.wanikani.com/kanji/%E5%B1%8B
3,stone,Stone,石,learned,9,character,4,石,Stone,9,https://www.wanikani.com/radicals/stone,https://www.wanikani.com/kanji/%E7%9F%B3
3,task,Task,用,learned,9,meaning,21,務,Task,6,https://www.wanikani.com/radicals/task,https://www.wanikani.com/kanji/%E5%8B%99
3,task,Task,用,learned,9,character,3,用,Task,9,https://www.wanikani.com/radicals/task,https://www.wanikani.com/kanji/%E7%94%A8
3,winter,Winter,夂,learned,9,meaning,3,冬,Winter,9,https://www.wanikani.com/radicals/winter,https://www.wanikani.com/kanji/%E5%86%AC
4,bamboo,Bamboo,竹,learned,9,character,4,竹,Bamboo,9,https://www.wanikani.com/radicals/bamboo,https://www.wanikani.com/kanji/%E7%AB%B9
4,branch,Branch,支,learned,9,character,8,支,Support,9,https://www.wanikani.com/radicals/branch,https://www.wanikani.com/kanji/%E6%94%AF
4,car,Car,車,learned,9,character,4,車,Car,9,https://www.wanikani.com/radicals/car,https://www.wanikani.com/kanji/%E8%BB%8A
4,center,Center,央,learned,9,character,4,央,Center,9,https://www.wanikani.com/radicals/center,https://www.wanikani.com/kanji/%E5%A4%AE
4,ear,Ear,耳,learned,9,character,4,耳,Ear,9,https://www.wanikani.com/radicals/ear,https://www.wanikani.com/kanji/%E8%80%B3
4,energy,Energy,气,learned,9,meaning,4,気,Energy,9,https://www.wanikani.com/radicals/energy,https://www.wanikani.com/kanji/%E6%B0%97
4,foot,Foot,足,learned,9,character,4,足,Foot,9,https://www.wanikani.com/radicals/foot,https://www.wanikani.com/kanji/%E8%B6%B3
4,hole,Hole,穴,learned,9,character,4,穴,Hole,9,https://www.wanikani.com/radicals/hole,https://www.wanikani.com/kanji/%E7%A9%B4
4,insect,Insect,虫,learned,9,meaning,19,昆,Insect,7,https://www.wanikani.com/radicals/insect,https://www.wanikani.com/kanji/%E6%98%86
4,insect,Insect,虫,learned,9,character,4,虫,Insect,9,https://www.wanikani.com/radicals/insect,https://www.wanikani.com/kanji/%E8%99%AB
4,man,Man,男,learned,9,character,4,男,Man,9,https://www.wanikani.com/radicals/man,https://www.wanikani.com/kanji/%E7%94%B7
4,master,Master,主,learned,9,character,4,主,Master,9,https://www.wanikani.com/radicals/master,https://www.wanikani.com/kanji/%E4%B8%BB
4,not,Not,不,learned,9,character,4,不,Not,9,https://www.wanikani.com/radicals/not,https://www.wanikani.com/kanji/%E4%B8%8D
4,origin,Origin,元,learned,9,character,4,元,Origin,9,https://www.wanikani.com/radicals/origin,https://www.wanikani.com/kanji/%E5%85%83
4,plate,Plate,皿,learned,9,character,4,皿,Plate,9,https://www.wanikani.com/radicals/plate,https://www.wanikani.com/kanji/%E7%9A%BF
4,red,Red,赤,learned,9,character,4,赤,Red,9,https://www.wanikani.com/radicals/red,https://www.wanikani.com/kanji/%E8%B5%A4
4,rice,Rice,米,learned,9,character,5,米,Rice,9,https://www.wanikani.com/radicals/rice,https://www.wanikani.com/kanji/%E7%B1%B3
4,samurai,Samurai,士,learned,9,character,13,士,Samurai,9,https://www.wanikani.com/radicals/samurai,https://www.wanikani.com/kanji/%E5%A3%AB
4,see,See,見,learned,9,character,4,見,See,9,https://www.wanikani.com/radicals/see,https://www.wanikani.com/kanji/%E8%A6%8B
4,shellfish,Shellfish,貝,learned,9,character,4,貝,Shellfish,9,https://www.wanikani.com/radicals/shellfish,https://www.wanikani.com/kanji/%E8%B2%9D
4,spirit,Spirit,ネ,learned,9,meaning,28,精,Spirit,6,https://www.wanikani.com/radicals/spirit,https://www.wanikani.com/kanji/%E7%B2%BE
4,thread,Thread,糸,learned,9,character,4,糸,Thread,9,https://www.wanikani.com/radicals/thread,https://www.wanikani.com/kanji/%E7%B3%B8
4,umbrella,Umbrella,乚,learned,9,meaning,28,傘,Umbrella,6,https://www.wanikani.com/radicals/umbrella,https://www.wanikani.com/kanji/%E5%82%98
4,world,World,世,learned,9,character,4,世,World,9,https://www.wanikani.com/radicals/world,https://www.wanikani.com/kanji/%E4%B8%96
4,world,World,世,learned,9,meaning,9,界,World,9,https://www.wanikani.com/radicals/world,https://www.wanikani.com/kanji/%E7%95%8C
5,angle,Angle,角,learned,9,character,5,角,Angle,9,https://www.wanikani.com/radicals/angle,https://www.wanikani.com/kanji/%E8%A7%92
5,axe,Axe,斤,learned,9,character,5,斤,Axe,9,https://www.wanikani.com/radicals/axe,https://www.wanikani.com/kanji/%E6%96%A4
5,blue,Blue,青,learned,9,character,5,青,Blue,9,https://www.wanikani.com/radicals/blue,https://www.wanikani.com/kanji/%E9%9D%92
5,color,Color,色,learned,9,character,5,色,Color,9,https://www.wanikani.com/radicals/color,https://www.wanikani.com/kanji/%E8%89%B2
5,feathers,Feathers,羽,learned,9,character,5,羽,Feather,9,https://www.wanikani.com/radicals/feathers,https://www.wanikani.com/kanji/%E7%BE%BD
5,go,Go,行,learned,9,character,5,行,Go,9,https://www.wanikani.com/radicals/go,https://www.wanikani.com/kanji/%E8%A1%8C
5,gold,Gold,金,learned,9,character,5,金,Gold,9,https://www.wanikani.com/radicals/gold,https://www.wanikani.com/kanji/%E9%87%91
5,lip-ring,Lip Ring,可,learned,9,character,18,可,Possible,8,https://www.wanikani.com/radicals/lip-ring,https://www.wanikani.com/kanji/%E5%8F%AF
5,meat,Meat,肉,learned,9,character,5,肉,Meat,9,https://www.wanikani.com/radicals/meat,https://www.wanikani.com/kanji/%E8%82%89
5,meet,Meet,会,learned,9,character,5,会,Meet,9,https://www.wanikani.com/radicals/meet,https://www.wanikani.com/kanji/%E4%BC%9A
5,night,Night,夜,learned,9,character,5,夜,Night,9,https://www.wanikani.com/radicals/night,https://www.wanikani.com/kanji/%E5%A4%9C
5,night,Night,夜,learned,9,meaning,15,晩,Night,9,https://www.wanikani.com/radicals/night,https://www.wanikani.com/kanji/%E6%99%A9
5,pig,Pig,豕,learned,9,meaning,5,豚,Pig,9,https://www.wanikani.com/radicals/pig,https://www.wanikani.com/kanji/%E8%B1%9A
5,rain,Rain,雨,learned,9,character,5,雨,Rain,9,https://www.wanikani.com/radicals/rain,https://www.wanikani.com/kanji/%E9%9B%A8
5,run,Run,走,learned,9,character,5,走,Run,9,https://www.wanikani.com/radicals/run,https://www.wanikani.com/kanji/%E8%B5%B0
5,say,Say,言,learned,9,character,5,言,Say,9,https://www.wanikani.com/radicals/say,https://www.wanikani.com/kanji/%E8%A8%80
5,self,Self,自,learned,9,character,5,自,Self,9,https://www.wanikani.com/radicals/self,https://www.wanikani.com/kanji/%E8%87%AA
5,village,Village,里,learned,9,meaning,4,村,Village,9,https://www.wanikani.com/radicals/village,https://www.wanikani.com/kanji/%E6%9D%91
